text,label
Q: what's your favorite song? :DA: I like too many songs to have a favorite,False
Q: <3A: </3 ? haha jk! <33,False
"Q: ""hey angel  you duh sexy""A: Really?!?! Thanks?! haha",False
Q: (:A: ;(,False
Q: ******************MEOWWW*************************A: *RAWR*?,False
Q: any makeup tips? i suck at doing my makeup lolA: Sure! Like tell me wht u wnna know?! Like wht do you use?!,False
Q: Apriiiiiiiiiiiill!!! I miss uuuu! It's Emma btw hahaA: EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333,False
Q: Are you a morning or night person?A: Night 4shuree!!,False
Q: are you a trusting person?A: alreadi answrd,False
Q: are you a trusting person?A: Yes veryy trustin person!!! May i help yuh:!,False
Q: Are you and @TruAce best friends?A: Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk,False
Q: Are you more of a talker or more of a listener?A: Listener definitely chuz i get cut off alot so i just listen or ignore pplz!,False
Q: Are yuh single and ready 2 mingle?!A: Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!,False
Q: ask me something!!!A: :),False
Q: BAHAHAhAHA....took you longer enough;p......GEES GIRL hahah...no its totally okay:) i just wanted to play guess who i am hahaha..i fuckinggg love you too;) <3A: Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha,False
Q: bahahahahhaha ;pA: lmaoo!!!!,False
Q: Bitch u thee bomb like Tick TICK!A: Hahah(: Thanks!,False
"Q: can you please sing a cover of any justin bieber song? :DA: Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate ""SMILE"" 2 yuh! Its playing!!",False
Q: Cats or Dogs?A: Dogs! Im allergic 2 cats=,False
Q: Chocolate or Vanilla?A: Chocolate! Bahah!,False
Q: definitely true! :D i've been learnin it for 5 years cuz i've frensh origins haha ;)A: Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!,False
Q: Did u watch bieber on oprah?A: Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!,False
Q: Do you believe in life after death?A: Yes of course i do... Its called Eternity with God in heaven!<3,False
Q: Do you believe in luck?A: Yes  bhut I think luck is blessing from God actually! in my opinioN!,False
Q: Do you believe there's intelligent life on other planets?A: If God created them then hellz yes!,False
Q: Do you consider yourself a good dancer?A: Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha,False
Q: do you have a bf??A: Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!,False
Q: Do you have any favorite YouTube star?A: I have 2 actually! Justin Bieber (ofcourse) && Scipio Mondai!,False
Q: do you have any memories you'd like to forget?A: Actually i do!!! Just my whole experience with this fake a$$ friend!!</3,False
Q: Do you have any piercings?A: Yuppers! Nose and Cartilage piercings(;,False
Q: Do you have any scars on your body?  If so  how'd you get them?A: Hahaha. Strange!:S,False
Q: do you like atlanta  GA ?A: yes i love ATL!! great place 2 live  wish i lived there! ;D,False
Q: do you think that a size 10 is fat? i'm trying to be a size 5 by the end of the year.A: Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!,False
Q: do you think you're a good friend?A: Fuck yes i think i am! haha,False
Q: do you watch american idol? if so  who are you voting for this season?A: Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .,False
Q: Do yuh have any stalkers?A: Hell yes! Lots of them and thats including yuh!<3,False
Q: don't listen to the haters  you are pretty!A: :D thank you gurl/boy ? I really appreciate it!<33,False
Q: Favorite store?A: ATM Rue 21;D Or Forever21 <3,False
Q: Fuck Justin bieber. He's a fucking fagA: UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good,False
Q: growl;]A: Meowl?;D If thts a word haha<3,False
Q: guesss who ;)A: Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?,False
Q: -Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3A: Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!,False
"Q: haaa its all qud  sorry abouht the ""hoe"" thinq  iwas mad lolA: lmfao! haha! Nahh its my badd;)",False
Q: haha ;)so.. have u ever been to france?A: Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha,False
Q: haha check inside ur closet u mind find out who it is(;A: Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk,False
Q: HAHA NOPE IM NOT TAQUISHA EITHER....i TALK TO YOU ALOT ON TWITTER;) <3A: OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!,False
Q: HAHAH GUESS WHO!? <3A: Mary?! lol hahahaha,False
Q: hahah okey dokey!..sweet thang(;A: Mwahaha!!! Sweet thang! i love it!!,False
Q: Hahah. Funny how u defend that beiber kid.A: & its also funny how u stalked my whole twitter! Nice goin! BITCH!,False
Q: HAHAHA NOPE! ...A: Uhhhhh!!!! OMG! Taquisha? LOL!,False
Q: Have u ever licked thee floor?A: Hahaha.. Yup!(: Its my job,False
Q: have u seen JUSTIN BIEBER in person? (:A: Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!,False
Q: Have you broken any bones?  If so  how?A: Haha nahh ive just fractured some thumbs bhut itz all good lol,False
Q: have you ever been on itellyouthat.com? go there and tell something to the world :DA: Hahah OHKAY?!,False
Q: have you ever had your heart broken?A: Yup yup!!:P,False
Q: hehe yup  it's awesome  but the pronunciation is incredibly haaard :DA: haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah,False
Q: Hello bitch! How's ur day going? Good I hope :) it's beautiful and sunny!A: Ohh heyy bitchh!!! its goin good..:D thx 4 askin,False
Q: Hello. My friend is also named April.A: Nicee!,False
Q: Hello?A: Hey  hows yah momma?!,False
Q: -Hellz yeahh(: of course i'm qoinqq i wannah b with you quy's  like duhh<3A: ahahaha!!!(: It wuzz funn!(: lmao<3,False
Q: Hey my name is April too! Haha. People named April are always cool. LOL.A: Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa,False
Q: hey you're an amazing nice and sweet girl..pretty too!A: Awwhhh!!!Thank yuh Jacob ur really nice!!! Might be my new bestie <33 Thank YUH SO MUCH!,False
Q: Hey. Why you such a bitch?A: Why thank yuh!,True
Q: Heyyy Abrilll(:!!! iloveyhuuu<3 muchooo!!A: Heyy Marribbbiii!! lmao! iloveyuhhh muchooo moeee!!!;) are yuh goin tmrw?!,False
Q: heyyyyyy!!! how u doin!!!!!A: Im doing good thankyuh!!!Heyyy hbu?!,False
Q: heyyyyyyyy!!!!wats up!?!?(*)-)A: Heyy ghurrr!!! Wuzz upp!! haha nuttin much just busyy!! hbu ma?,False
Q: Hi April!!!A: Heyy :D,False
Q: how many languages do u speak?A: Umm.. i think 2 bhut english is my first! im learnin french! ;d hbu?!,False
Q: how old are u ? And how do you know michael?A: Who the hell are yuh!!! And who tha fuck is michael!?,False
Q: How would you describe your personality?A: Hmmm...personal? root word.. lol umm probss... bubbly  nice  honest(sumtyms),False
Q: How would you describe yourself in 3 words?A: Myself Bubbly Funny?,False
Q: i love your hair.A: iLoveYou! Thanks alot! Bhut its alot 2 keep up wit! Wanna trade haha!,False
Q: i love youu chica!<33A: NO no no! I Love youuu moreee<333 ;D haha!!,False
Q: i love youuuuuuu (:A: iFUCKINLoveyou!!!<33 xox ha!,False
Q: i speak english frensh and a little arabic cuz i've been to egypt a lotta times :DA: OMG! really?! cool thats so awesome! yeah i wanna learn more languages bhut french is already enuff 2 deal wit! ha,False
Q: I think ur not pretty. Sorry.A: Oh thats wht i think too! dnt be sorry hahaha! Silly goose,False
Q: i'm bored can you tell me something funny? loolA: Hahah!! ohhkayy?!?! lol Wht do you call a deer with no eyes? I have no ideer! haha Classic  umm i suck at this haha,False
